Date,Price,Max Price,,15% drop,10% drop,5% drop,2% drop
13-11-2020,40.13288656,44.21003659,-5000,0,0,125,0
13-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
14-11-2020,40.23113523,44.21003659,-5000,0,0,124,0
14-11-2020,39.29781146,44.21003659,-10000,0,254,0,0
17-11-2020,39.78903222,44.21003659,-10000,0,251,0,0
17-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
18-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
18-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
19-11-2020,39.7399072,44.21003659,-10000,0,252,0,0
19-11-2020,39.29780613,44.21003659,-10000,0,254,0,0
20-11-2020,39.73991071,44.21003659,-10000,0,252,0,0
20-11-2020,38.90483001,44.21003659,-10000,0,257,0,0
23-11-2020,39.78903368,44.21003659,-5000,0,0,126,0
23-11-2020,39.29781104,44.21003659,-10000,0,254,0,0
24-11-2020,40.28025666,44.21003659,-5000,0,0,124,0
24-11-2020,39.34693289,44.21003659,-10000,0,254,0,0
25-11-2020,39.73991071,44.21003659,-10000,0,252,0,0
25-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
26-11-2020,40.23112978,44.21003659,-5000,0,0,124,0
26-11-2020,39.29780613,44.21003659,-10000,0,254,0,0
27-11-2020,40.13288656,44.21003659,-5000,0,0,125,0
27-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
01-12-2020,40.28025129,44.21003659,-5000,0,0,124,0
01-12-2020,39.29780613,44.21003659,-10000,0,254,0,0
02-12-2020,39.2978096,44.21003659,-10000,0,254,0,0
02-12-2020,37.97151003,44.21003659,-10000,0,263,0,0
03-12-2020,39.78903222,44.21003659,-10000,0,251,0,0
03-12-2020,39.2978096,44.21003659,-10000,0,254,0,0
04-12-2020,40.08376504,44.21003659,-5000,0,0,125,0
04-12-2020,39.2978096,44.21003659,-10000,0,254,0,0
07-12-2020,40.03464353,44.21003659,-5000,0,0,125,0
07-12-2020,38.75746547,44.21003659,-10000,0,258,0,0
08-12-2020,39.78903292,44.21003659,-10000,0,251,0,0
08-12-2020,38.90483069,44.21003659,-10000,0,257,0,0
09-12-2020,39.54341742,44.21003659,-10000,0,253,0,0
09-12-2020,38.85570507,44.21003659,-10000,0,257,0,0
10-12-2020,39.5925451,44.21003659,-10000,0,253,0,0
10-12-2020,37.33292164,44.21003659,-20000,536,0,0,0
11-12-2020,39.54342091,44.21003659,-10000,0,253,0,0
11-12-2020,39.05219829,44.21003659,-10000,0,256,0,0
14-12-2020,39.7399072,44.21003659,-10000,0,252,0,0
14-12-2020,38.75746205,44.21003659,-10000,0,258,0,0
15-12-2020,40.18201182,44.21003659,-5000,0,0,124,0
15-12-2020,38.75746547,44.21003659,-10000,0,258,0,0
16-12-2020,39.59254242,44.21003659,-10000,0,253,0,0
16-12-2020,39.2978096,44.21003659,-10000,0,254,0,0
17-12-2020,47.15737406,0,0,0,0,0,0
17-12-2020,39.29781172,47.15737406,-20000,509,0,0,0
18-12-2020,41.11533131,47.15737406,-10000,0,243,0,0
18-12-2020,39.44517742,47.15737406,-20000,507,0,0,0
21-12-2020,40.9188476,47.15737406,-10000,0,244,0,0
21-12-2020,39.29781138,47.15737406,-20000,509,0,0,0
22-12-2020,39.6907892,47.15737406,-20000,504,0,0,0
22-12-2020,37.33291912,47.15737406,-20000,536,0,0,0
23-12-2020,40.23113216,47.15737406,-10000,0,249,0,0
23-12-2020,39.24868695,47.15737406,-20000,510,0,0,0
24-12-2020,40.28025129,47.15737406,-10000,0,248,0,0
24-12-2020,39.29780613,47.15737406,-20000,509,0,0,0
28-12-2020,40.03464423,47.15737406,-20000,500,0,0,0
28-12-2020,38.90483069,47.15737406,-20000,514,0,0,0
29-12-2020,40.91884803,47.15737406,-10000,0,244,0,0
29-12-2020,39.29781179,47.15737406,-20000,509,0,0,0
30-12-2020,40.37849704,47.15737406,-10000,0,248,0,0
30-12-2020,40.03464271,47.15737406,-20000,500,0,0,0
31-12-2020,40.47674682,47.15737406,-10000,0,247,0,0
31-12-2020,39.54342304,47.15737406,-20000,506,0,0,0
01-01-2021,40.28025129,47.15737406,-10000,0,248,0,0
01-01-2021,39.29780613,47.15737406,-20000,509,0,0,0
04-01-2021,40.28025736,47.15737406,-10000,0,248,0,0
04-01-2021,39.29781206,47.15737406,-20000,509,0,0,0
05-01-2021,41.01708817,47.15737406,-10000,0,244,0,0
05-01-2021,39.34693054,47.15737406,-20000,508,0,0,0
06-01-2021,40.28025129,47.15737406,-10000,0,248,0,0
06-01-2021,39.29780613,47.15737406,-20000,509,0,0,0
07-01-2021,40.28025554,47.15737406,-10000,0,248,0,0
07-01-2021,38.31536503,47.15737406,-20000,522,0,0,0
08-01-2021,44.94687349,47.15737406,-2500,0,0,0,56
08-01-2021,39.29781289,47.15737406,-20000,509,0,0,0
11-01-2021,46.66615144,47.15737406,0,0,0,0,0
11-01-2021,43.71881556,47.15737406,-5000,0,0,114,0
12-01-2021,47.10825075,47.15737406,0,0,0,0,0
12-01-2021,44.21003649,47.15737406,-5000,0,0,113,0
13-01-2021,46.46966015,47.15737406,0,0,0,0,0
13-01-2021,42.3433893,47.15737406,-10000,0,236,0,0
14-01-2021,43.71881635,47.15737406,-5000,0,0,114,0
14-01-2021,41.90129403,47.15737406,-10000,0,239,0,0
